날짜,상품명,가격
2026-03-23,MSI 소드 GF76 HX B14WFK-i7 QHD,"1,899,000원"
2026-03-23,ASUS TUF Gaming A14 FA401UM-RG007,"1,832,030원"
2026-03-23,에이서 프레데터 헬리오스 네오 16 AI PHN16-73-9797,"1,959,080원"
2026-03-23,ASUS TUF Gaming F16 FX608JMR-QT040,"2,452,000원"
2026-03-23,HP 오멘 16-ap0117AX,"1,947,880원"
2026-03-23,레노버 LEGION 5 15AHP10 83M0000PKR,"2,050,890원"
2026-03-23,레노버 LOQ 15AHP10 R7 5060,"2,324,000원"
2026-03-23,ASUS TUF Gaming A14 FA401EA-RG032,"2,546,710원"
2026-03-23,레노버 LEGION 5i 15IRX9 i7 4060,"2,651,660원"
2026-03-23,ASUS Gaming V16 V3607VM-RP005,"2,893,000원"
2026-03-23,MSI 벡터 16 HX AI A2XWHG-U7 QHD+,"3,190,000원"
2026-03-23,HP 오멘 16-ap0074AX,"3,800,000원"
2026-03-23,HP HyperX 오멘 15-gb0043AX,"3,951,000원"
2026-03-23,ASUS TUF Gaming F16 FX608JMR-QT040 WIN11 32GB램,"1,740,000원"
2026-03-23,MSI 사이보그 15 B2RWEKG-C5 16GB램,"1,898,000원"
2026-03-23,삼성전자 갤럭시북6 울트라 NT960UJH-XD72Y,"1,969,000원"
2026-03-23,MSI GF시리즈 소드 GF76 A AI B8VF-R7 WIN11 32GB램,"2,300,000원"
2026-03-23,HP 오멘 16-ap0097AX,"2,400,000원"
2026-03-23,레노버 LOQ 15AHP10 R7 5060 WIN11,"2,485,000원"
2026-03-23,HP 오멘 16-ap0118AX,"2,498,890원"
2026-03-23,에이서 프레데터 헬리오스 네오 16 AI PHN16-73-97AB,"2,949,870원"
2026-03-23,HP 오멘 슬림 16-an0023TX,"3,269,000원"
2026-03-23,MSI 스텔스 14 AI Studio A1VFG-U7 퓨어 화이트 WIN11,"1,999,000원"
2026-03-23,레노버 LEGION 5 15IRX10 i7 5060,"2,230,000원"
2026-03-23,HP 빅터스 15-fb3113AX,"2,358,000원"
2026-03-23,MSI 소드 GF66 HX B14WFK-i7 QHD WIN11 32GB램,"2,775,000원"
2026-03-23,에이서 프레데터 트리톤 네오 16 PTN16-51-99ZD,"2,900,000원"
2026-03-23,ASUS TUF Gaming A14 FA401EA-RG031W,"1,599,000원"
2026-03-23,LG전자 2025 그램 프로17 17ZD90TR-EX7BK WIN11,"1,661,000원"
2026-03-23,ASUS ProArt P16 H7606WP-ME042W,"1,794,000원"
2026-03-23,MSI 소드 GF76 HX B14WFK-i7 QHD WIN11,"1,900,000원"
2026-03-23,MSI 소드 GF76 HX B14WGK-i9 QHD WIN11 32GB램,"1,953,000원"
2026-03-23,ASUS ROG STRIX G16 G614FR-S5122,"3,249,000원"
2026-03-23,MSI 사이보그 A15 AI B2HWFKG-R7,"3,599,000원"
2026-03-23,HP 오멘 16-ap0171AX 32GB램,"1,599,000원"
2026-03-23,MSI 소드 GF76 HX B14WGK-i9 QHD,"1,798,000원"
2026-03-23,ASUS ROG STRIX G18 G815LR-S9199,"1,882,000원"
2026-03-23,ASUS TUF Gaming A18 FA808UM-S8031,"2,099,000원"
2026-03-23,ASUS TUF Gaming A16 FA608PP-QT028,"1,828,000원"
2026-03-23,MSI 벡터 16 HX AI A2XWIG-U9 QHD+ WIN11 32GB램,"1,490,000원"
2026-03-28,MSI 소드 GF76 HX B14WFK-i7 QHD,"1,899,000원"
2026-03-28,HP 오멘 16-ap0117AX,"1,830,720원"
2026-03-28,ASUS TUF Gaming F16 FX608JMR-QT040,"1,919,270원"
2026-03-28,ASUS Gaming V16 V3607VM-RP005,"2,452,000원"
2026-03-28,레노버 LOQ 15AHP10 R7 5060,"2,485,000원"
2026-03-28,MSI 벡터 16 HX AI A2XWHG-U7 QHD+,"2,745,000원"
2026-03-28,ASUS TUF Gaming A14 FA401UM-RG007,"2,948,680원"
2026-03-28,레노버 LEGION 5i 15IRX9 i7 4060,"3,269,000원"
2026-03-28,ASUS TUF Gaming A14 FA401EA-RG032,"1,740,000원"
2026-03-28,에이서 프레데터 헬리오스 네오 16 AI PHN16-73-9797,"1,898,000원"
2026-03-28,HP 오멘 16-ap0097AX,"2,050,000원"
2026-03-28,LG전자 2025 그램 프로16 16Z90TR-ED7WK,"2,350,000원"
2026-03-28,MSI 소드 GF76 HX B14WFK-i7 QHD WIN11,"2,498,890원"
2026-03-28,HP HyperX 오멘 15-gb0043AX,"1,490,000원"
2026-03-28,MSI 벡터 16 HX AI A2XWIG-U9 QHD+,"1,604,340원"
2026-03-28,MSI 소드 GF76 HX B14WGK-i9 QHD 32GB램,"1,635,700원"
2026-03-28,HP 오멘 16-ap0074AX,"2,178,000원"
2026-03-28,삼성전자 갤럭시북6 울트라 NT960UJH-XD72Y,"2,039,890원"
2026-03-28,LG전자 2025 그램 프로17 17Z90TR-ED7WK,"1,599,000원"
2026-03-28,HP 빅터스 16-r1711TX,"1,661,000원"
2026-03-28,MSI 스텔스 14 AI Studio A1VFG-U7 퓨어 화이트 WIN11,"1,794,000원"
2026-03-28,MSI 사이보그 A15 AI B2HWFKG-R7 WIN11 64GB램,"1,900,000원"
2026-03-28,HP 오멘 16-am0343TX,"1,953,000원"
2026-03-28,ASUS TUF Gaming A14 FA401UM-RG011,"2,749,000원"
2026-03-28,레노버 LOQ 15IRX11 i5 5060,"2,796,370원"
2026-03-28,MSI 소드 GF76 HX B14WGK-i9 QHD 64GB램,"2,883,000원"
